setting_id,regime,sims_per_move,particle_worlds,label,candidate_mode,baseline_mode,games,wins,losses,draws,win_rate,avg_final_vp,avg_turns,mean_latency_ms,seeds,candidate_total_simulations,baseline_total_simulations
sims_16_worlds_2_compute_matched,compute_matched,16,2,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,3.9087190673250167,7200 7201,16,16
sims_16_worlds_2_compute_matched,compute_matched,16,2,particle vs none,particle,none,4,1,2,1,0.25,5.25,371.25,3.604410512466279,7200 7201,16,16
sims_16_worlds_2_compute_matched,compute_matched,16,2,particle vs frequency,particle,frequency,4,2,1,1,0.5,6.5,384,6.16550851280477,7200 7201,16,16
sims_16_worlds_2_world_scaled,world_scaled,16,2,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,5.088080863269621,7200 7201,16,16
sims_16_worlds_2_world_scaled,world_scaled,16,2,particle vs none,particle,none,4,3,1,0,0.75,8,122.5,9.778129755642839,7200 7201,32,16
sims_16_worlds_2_world_scaled,world_scaled,16,2,particle vs frequency,particle,frequency,4,3,1,0,0.75,6.75,135,9.602639345055795,7200 7201,32,16
sims_16_worlds_4_compute_matched,compute_matched,16,4,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,4.776581615189106,7200 7201,16,16
sims_16_worlds_4_compute_matched,compute_matched,16,4,particle vs none,particle,none,4,1,2,1,0.25,4,413.75,6.508464767340565,7200 7201,16,16
sims_16_worlds_4_compute_matched,compute_matched,16,4,particle vs frequency,particle,frequency,4,1,2,1,0.25,4.5,408.75,5.5043753400440565,7200 7201,16,16
sims_16_worlds_4_world_scaled,world_scaled,16,4,frequency vs none,frequency,none,4,3,1,0,0.75,7.75,156,6.91107585470674,7200 7201,16,16
sims_16_worlds_4_world_scaled,world_scaled,16,4,particle vs none,particle,none,4,3,1,0,0.75,8,104.5,19.49596938470721,7200 7201,64,16
sims_16_worlds_4_world_scaled,world_scaled,16,4,particle vs frequency,particle,frequency,4,3,1,0,0.75,7.75,121,30.27928076968881,7200 7201,64,16
